station_id,year,month,day,route_type,snow_coverage_near_station,snow_coverage_route,ice_crust_route,snow_height_aver,snow_height_max,snow_height_min,snow_density_aver,ice_crust_aver,snow_saturated_thickness,water_thickness,water_in_snow,water_total,snow_coverage_charact,snow_charact,snow_height,snow_coverage_station,snow_height_q1,snow_height_q2,snow_height_q3,temperature_20cm,temperature_20cm_qual,temperature_40cm,temperature_40cm_qual,temperature_80cm,temperature_80cm_qual,temperature_120cm,temperature_120cm_qual,temperature_160cm,temperature_160cm_qual,temperature_240cm,temperature_240cm_qual,temperature_320cm,temperature_320cm_qual,temperature_ks_5cm,temperature_ks_5cm_qual,temperature_ks_10cm,temperature_ks_10cm_qual,temperature_ks_15cm,temperature_ks_15cm_qual,temperature_ks_20cm,temperature_ks_20cm_qual,date
24738,1989,4,115,2.0,,10.0,,39.0,44.0,31.0,0.21,,,,82.0,82.0,3.0,3.0,28.0,10.0,0.0,0.0,0.0,-4.0,0.0,-7.0,0.0,-7.0,0.0,-7.0,0.0,-3.0,0.0,1.0,0.0,15.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-04-25
24738,2003,4,115,3.0,,9.0,,15.0,25.0,0.0,0.26,,,,39.0,39.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9999.0,9.0,9999.0,9.0,2.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2003-04-25
24738,2005,4,115,3.0,,10.0,,24.0,39.0,7.0,0.23,,,,55.0,55.0,0.0,5.0,3.0,6.0,0.0,0.0,0.0,9999.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,9999.0,9.0,9999.0,9.0,1.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2005-04-25
24923,1989,4,115,2.0,,10.0,,61.0,71.0,50.0,0.26,,,,159.0,159.0,0.0,4.0,66.0,10.0,0.0,0.0,0.0,-3.0,0.0,-1.0,0.0,0.0,0.0,9999.0,9.0,1.0,0.0,9999.0,9.0,6.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-04-25
24923,2003,4,115,3.0,,10.0,,41.0,49.0,28.0,0.27,,,,111.0,111.0,0.0,4.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,9999.0,9.0,-1.0,0.0,9999.0,9.0,10.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2003-04-25
24923,2005,4,115,3.0,,10.0,,47.0,53.0,36.0,0.24,,,,113.0,113.0,0.0,5.0,22.0,10.0,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0,-6.0,0.0,9999.0,9.0,-5.0,0.0,9999.0,9.0,8.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2005-04-25
24944,1989,4,115,2.0,,10.0,,25.0,36.0,15.0,0.26,,,65.0,65.0,3.0,3.0,,2.0,6.0,0.0,0.0,0.0,-5.0,0.0,-12.0,0.0,-14.0,0.0,-14.0,0.0,-11.0,0.0,-3.0,0.0,3.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-04-25
24944,2003,4,115,3.0,,9.0,,15.0,28.0,5.0,0.25,,,38.0,38.0,0.0,3.0,,1.0,5.0,0.0,0.0,0.0,-6.0,0.0,-14.0,0.0,-20.0,0.0,9999.0,9.0,-14.0,0.0,9999.0,9.0,1.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2003-04-25
24944,2005,4,115,3.0,,10.0,,22.0,30.0,12.0,0.26,,,57.0,57.0,1.0,5.0,,15.0,10.0,0.0,0.0,0.0,-7.0,0.0,-16.0,0.0,-21.0,0.0,9999.0,9.0,-10.0,0.0,9999.0,9.0,1.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2005-04-25
24951,1989,4,115,2.0,,10.0,,37.0,43.0,30.0,0.21,,,,78.0,78.0,3.0,4.0,28.0,10.0,0.0,0.0,0.0,-44.0,0.0,-53.0,0.0,-56.0,0.0,-52.0,0.0,-49.0,0.0,-43.0,0.0,-37.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-04-25
24951,2003,4,115,3.0,,9.0,,19.0,27.0,,0.29,,,,55.0,55.0,9.0,7.0,1.0,4.0,0.0,0.0,0.0,-4.0,0.0,-9.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2003-04-25
24951,2005,4,115,3.0,,10.0,,28.0,41.0,17.0,0.26,,,,73.0,73.0,3.0,5.0,6.0,10.0,0.0,0.0,0.0,-4.0,0.0,-14.0,0.0,9999.0,9.0,-25.0,0.0,9999.0,9.0,-20.0,0.0,-2.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2005-04-25
24959,1989,4,115,2.0,,10.0,,34.0,38.0,27.0,0.25,,,,85.0,85.0,0.0,5.0,30.0,10.0,0.0,0.0,0.0,-30.0,0.0,-31.0,0.0,-32.0,0.0,-23.0,0.0,-17.0,0.0,-7.0,0.0,-7.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-04-25
24959,2003,4,115,3.0,,9.0,,4.0,9.0,,0.32,,,,13.0,13.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,-17.0,0.0,-27.0,0.0,-35.0,0.0,-33.0,0.0,-28.0,0.0,-6.0,0.0,-6.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2003-04-25
24959,2005,4,115,3.0,,9.0,,18.0,34.0,,0.27,,,,49.0,49.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,9999.0,9.0,-24.0,0.0,-25.0,0.0,-20.0,0.0,-15.0,0.0,-5.0,0.0,-6.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2005-04-25
24966,1989,4,115,2.0,,8.0,,7.0,28.0,,0.28,,,20.0,20.0,9.0,8.0,,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-4.0,0.0,-8.0,0.0,-9.0,0.0,-7.0,0.0,-6.0,0.0,-5.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-04-25
24966,2003,4,115,3.0,,9.0,,11.0,25.0,,0.23,,,25.0,25.0,9.0,5.0,,0.0,0.0,1.0,0.0,0.0,-4.0,0.0,-14.0,0.0,-27.0,0.0,-32.0,0.0,-31.0,0.0,-27.0,0.0,-19.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2003-04-25
24966,2005,4,115,3.0,,8.0,,14.0,20.0,,0.3,,,42.0,42.0,4.0,4.0,,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-6.0,0.0,-11.0,0.0,-11.0,0.0,-12.0,0.0,-8.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,2005-04-25
30054,1989,4,115,2.0,,10.0,,40.0,54.0,20.0,0.32,,,128.0,128.0,3.0,6.0,,10.0,10.0,0.0,0.0,0.0,-3.0,0.0,-4.0,0.0,9999.0,9.0,9999.0,9.0,7.0,0.0,9999.0,9.0,15.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-04-25
30230,1989,4,115,2.0,,10.0,3.0,33.0,40.0,26.0,0.28,3.0,,,92.0,95.0,3.0,8.0,0.0,7.0,0.0,0.0,0.0,-5.0,0.0,-7.0,0.0,-6.0,0.0,9999.0,9.0,-3.0,0.0,9999.0,9.0,12.0,0.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,9999.0,9.0,1989-04-25
